drugcomb_name,beataml_name,match_source
WH-4-023,,no_match
WZ-1-84,,no_match
WZ3105,,no_match
WZ4002,,no_match
WZ8040,,no_match
XL765,,no_match
XMD11-85h,,no_match
XMD13-2,,no_match
XMD14-99,,no_match
XMD15-27,,no_match
XMD8-85,,no_match
XMD8-92,,no_match
YK 4-279,,no_match
YL54,,no_match
Z-LLNle-CHO,,no_match
ZG-10,,no_match
ZINC214489228,,no_match
ZSTK474,,no_match
Zanosar,,no_match
Zibotentan,,no_match
Zoledronic acid,,no_match
actinomycin D,,no_match
alisertib:navitoclax (2:1 mol/mol),,no_match
allopurinol,,no_match
alpelisib,,no_match
altretamine,,no_match
amifostine,,no_match
anastrozole,,no_match
apicidin,,no_match
aranidipine,,no_match
azanide; dichloroplatinum(2+),,no_match
bafilomycin A1,,no_match
betulinic acid,,no_match
bicalutamide,,no_match
bleomycin,,no_match
bms270394,,no_match
brefeldin A,,no_match
busulfan,,no_match
camptothecin,,no_match
carboplatin:UNC0638 (2:1 mol/mol),,no_match
carboplatin:etoposide (40:17 mol/mol),,no_match
carmustine,,no_match
celecoxib,,no_match
cerulenin,,no_match
chlorambucil,,no_match
cimetidine,,no_match
cis-Platin,,no_match
compound 1B,,no_match
crizotinib:PLX-4032 (2:1 mol/mol),,no_match
curcumin,,no_match
cyanoquinoline 11,,no_match
cyclophosphamide,,no_match
cyclosporine,,no_match
dacarbazine,,no_match
decitabine:carboplatin (1:1 mol/mol),,no_match
decitabine:navitoclax (2:1 mol/mol),,no_match
dexamethasone,,no_match
docetaxel,,no_match
